Number,Station No,Dam Name,Reservoir,Latitude,Longitude,Province,WMA,Place,Catchment Area,"FSC 1,000,000m³ (million m³)",Type,actual lvl 20151130 (million m³),actual lvl 20151207 (million m³),actual lvl 20151214 (million m³),actual lvl 20151221 (million m³),actual lvl 20151228 (million m³),actual lvl 20160104 (million m³),actual lvl 20160111 (million m³),actual lvl 20160118 (million m³),actual lvl 20160125 (million m³),actual lvl 20160201 (million m³),actual lvl 20160208 (million m³),actual lvl 20160215 (million m³),actual lvl 20160229 (million m³),actual lvl 20160307 (million m³),actual lvl 20160314 (million m³),actual lvl 20160321 (million m³),20151123 (percent full),20151130 (percent full),20151207  (percent full),20151214  (percent full),20151221 (percent full),20151228 (percent full),20150104 (percent full),20160111 (percent full),20160118 (percent full),20160125 (percent full),20160201 (percent full),20160208 (percent full),20160215 (percent full),20160229 (percent full),20160307 (percent full),20160314 (percent full),20160321 (percent full),2015 week 11 (percent full)
118,D4R004,Setumo Dam ,Setumo,25.857500000000002,25.508610000000001,NW,3,Molopo River @ Setumo Dam,1787,20.718,,10.332000000000001,9.789,,,,,0.013,9.394,,9.368,9.178000000000001,9.035,8.757999999999999,8.634,9.525,8.269,,49.9,47.3,,,,,0.1,45.3,,45.2,44.3,43.6,42.3,41.7,46,39.9,68.5
123,D7R001,Boegoeberg Dam ,Boegoeberg,29.041070000000001,22.202300000000001,NC,14,Orange River @ Boegoeberg Dam,343050,19.815000000000001,Balancing Dam,20.763999999999999,19.43,21.137,20.030999999999999,,,19.353999999999999,21.44,,20.321999999999999,19.050999999999998,16.280999999999999,20.321999999999999,18.529,20.103000000000002,,104.8,104.8,98.1,106.7,101.1,,,97.7,108.2,,102.6,96.1,82.2,102.6,93.5,101.5,,96.3
124,E1R001,Bulshoek Dam ,Bulshoek,31.99614,18.78708,WCw,17,Olifants River @ Bulshoek Dam,2770,4.809,,2.908,3.425,3.589,3.454,,,3.139,3.309,,3.41,3.181,3.111,2.782,3.125,2.81,2.401,65.599999999999994,60.5,71.2,74.599999999999994,71.8,,,65.3,68.8,,70.900000000000006,66.099999999999994,64.7,57.9,65,58.4,49.9,90
125,E1R002,Clanwilliam Dam ,Clanwilliam,32.184699999999999,18.874420000000001,WCw,17,Olifants River @ Clanwilliam Dam,2017,122.48,,85.040999999999997,80.159000000000006,75.792000000000002,72.671000000000006,,,57.945,53.097000000000001,,44.563000000000002,40.537999999999997,36.561,29.201000000000001,25.170999999999999,22.312000000000001,19.481000000000002,72.5,69.400000000000006,65.400000000000006,61.9,59.3,,,47.3,43.4,,36.4,33.1,29.9,23.8,20.6,18.2,15.9,25.9
126,E4R001,Karee Dam ,Karee,31.428460000000001,19.788180000000001,NC,17,Karee River @ Karee Dam,18,0.949,,0.429,0.4,0.381,0.365,,,0.298,0.277,,0.251,0.232,0.221,0.176,0.16,0.144,0.128,47,45.2,42.1,40.200000000000003,38.5,,,31.4,29.2,,26.4,24.4,23.3,18.5,16.8,15.2,13.5,32.700000000000003
127,G1R001,Voelvlei Dam ,Voelvlei,33.339359999999999,19.02937,WCw,19,Voelvlei River @ Voelvlei Dam,42,158.58000000000001,,60.317999999999998,58.22,54.302999999999997,52.585999999999999,,,47.17,43.847000000000001,,41.095999999999997,39.954000000000001,38.601999999999997,36.142000000000003,35.231000000000002,32.936999999999998,32.640999999999998,39.4,38,36.700000000000003,34.200000000000003,33.200000000000003,,,29.7,27.6,,25.9,25.2,24.3,22.8,22.2,20.8,20.6,56.5
128,G1R002,Wemmershoek Dam,Wemmershoek,,,WCw,19,,,58.71,,37.273000000000003,36.700000000000003,36.22,35.722000000000001,,,34.252000000000002,33.749000000000002,,32.92,32.49,32.021999999999998,31.036999999999999,30.68,30.167999999999999,29.776,64.400000000000006,63.5,62.5,61.7,60.8,,,58.3,57.5,,56.1,55.3,54.5,52.9,52.3,51.4,50.7,62.1
129,G1R003,Misverstand Dam ,Misverstand,33.024850000000001,18.788959999999999,WCw,19,Berg River @ Misverstand Dam,3972,6.439,Balancing Dam,5.741,,7.1,6.664,,,6.086,5.961,,6.613,5.741,5.937,6.362,5.716,5.668,6.061,90.7,89.2,,110.3,103.5,,,94.5,92.6,,102.7,89.2,92.2,98.8,88.8,88,94.1,102.7
130,G1R004,Berg River Dam  ,Berg River,33.908700000000003,19.057950000000002,WCw,19,Berg River @ Berg River dam,78,127.05,,100.85,100.5,91.896000000000001,88.56,,,75.180999999999997,69.912000000000006,,,63.551000000000002,62.031999999999996,42.726999999999997,39.450000000000003,35.576999999999998,31.951000000000001,81.3,79.400000000000006,79.099999999999994,72.3,69.7,,,59.2,55,,,50,48.8,33.6,31.1,28,25.1,62.8
132,G4R001,Steenbras Dam Lower  ,Steenbras,34.186869999999999,18.85247,WCw,19,Steenbras River @ Steenbras Dam-Lower,67,33.880000000000003,Balancing Dam,24.524999999999999,23.459,22.832999999999998,21.702999999999999,,,19.038,17.573,,15.685,14.849,13.962999999999999,15.563000000000001,16.280999999999999,15.513999999999999,14.733000000000001,75.2,72.400000000000006,69.2,67.400000000000006,64.099999999999994,,,56.2,51.9,,46.3,43.8,41.2,45.9,48.1,45.8,43.5,47.1
133,G4R002,Eikenhof Dam ,Eikenhof,34.127519999999997,19.03471,WCw,18,Palmiet River @ Eikenhof Dam,64,28.856000000000002,,26.850999999999999,26.081,25.323,24.826000000000001,,,22.425000000000001,21.484999999999999,,19.917999999999999,19.036999999999999,18.183,16.451000000000001,15.675000000000001,15.113,14.302,94.6,93.1,90.4,87.8,86,,,77.7,74.5,,69,66,63,57,54.3,52.4,49.6,60.4
135,G4R007,Steenbras Dam - Upper  ,"Steenbrasdam-Upper",34.168030000000002,18.90165,WCw,19,Steenbras River @ Steenbras Dam-Upper,30,31.811,Balancing Dam,25.838000000000001,25.603000000000002,24.791,24.631,,,24.38,24.722000000000001,,24.198,24.494,24.108000000000001,20.492000000000001,19.081,18.669,18.553000000000001,84.7,81.2,80.5,77.900000000000006,77.400000000000006,,,76.599999999999994,77.7,,76.099999999999994,77,75.8,64.400000000000006,60,58.7,58.3,77.5
199,R2L001,Debe Dam,Debe,,,EC,12,,,6.331,,6.165,6.138,6.102,6.029,,,5.867,5.805,,5.718,5.665,5.639,5.544,5.502,5.57,5.544,97.8,97.4,97,96.4,95.2,,,92.7,91.7,,90.3,89.5,89.1,87.6,86.9,88,87.6,94.5
